Observer First Name,Observer Last Name,Title,Affiliation,E-mail Address,Survey Type,Species Common Name,Species Confidence,Site Name,Territory,NestID,Date,SurvStart_Time,SurvEnd_Time,Observation Type,Nest Status,Territory Status,No adults or field sign observed after repeated visits,Decorated nest was present,One or more adults exhibited nest affinity,"One or more adults engaged in courtship, territorial, or reproductive vehavior (e.g. undulating flight, copulation)",An adult observed in incubating posture on a nest,Eggs observed in a nest,Young observed in a nest,Recently fledged young observed in vicinity of a nest,Other? PLEASE DEFINE,Sex - if adult(s) present,Northing (Latitude),Easting (Longitude),Coordinate System,Location Confidence,LocComment,Site Directions,Land Manager,NestSub,SubHgt,SubAsp,NestAsp,NestHgt,NestCond,EcolSysNes,EcolSysAdj,Photos,Comments,RecordID
First,Last,Sr. Wildlife Technician,Idaho Fish Game,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Squaw Creek,,,6/20/2013,,,Individual Seen (no nest),,Undetermined,,,,,,,,,,Unknown,43.3824630000,-116.8702280000,Decimal Degrees GCS WGS 1984,Moderate Precision,,,BLM,,,,,,,,,,2 adults observed,1
First,Last,Sr. Wildlife Technician,Idaho Department of Fish and Game,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Castle Creek,,,5/4/2013,,,Individual Seen (no nest),,Undetermined,,,,,,,,,,Unknown,42.8121810000,-116.4507510000,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,,,,,,,,,,1 adult observed,2
First2,Last2,Sr. Wildlife Technician 2,BLM,first2.last2@blm.gov,Ground,Golden Eagle,Certain,Castle Creek,,,5/10/2013,,,Individual Seen (no nest),,Undetermined,,,,,,,,,,Unknown,42.7866000000,-116.4931420000,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,,,,,,,,,,1 adult observed,3
First2,Last2,Sr. Wildlife Technician 2,Bureau of Land Management,first2last2@blm.gov,Ground,Golden Eagle,Certain,Castle Creek,,,5/21/2013,,,Individual Seen (no nest),,Undetermined,,,,,,,,,,Unknown,42.7956670000,-116.5019040000,Decimal Degrees GCS WGS 1984,Moderate Precision,,,BLM,,,,,,,,,,1 adult observed,4
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Golden Eagle,Certain,Castle Creek,,,5/25/2013,,,Individual Seen (no nest),,Undetermined,,,,,,,,,,Unknown,42.8147080000,-116.5501880000,Decimal Degrees GCS WGS 1984,Estimated Precision,,,BLM,,,,,,,,,,2 adults observed,5
First3,Last3,Sr. Wildlife Technician 3,IDFG,first3.last3@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,3/29/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.935285,-116.384567,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,60,150,150,1,Poor,,,,,6
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,3/29/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.935285,-116.384567,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,60,150,150,1,Poor,,,,,7
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,4/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.938184,-116.380555,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,45,150,150,1,Poor,,,,,8
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,4/3/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.938184,-116.380555,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,45,150,150,1,Poor,,,,,9
First,Last,Sr. Wildlife Technician,IDFG,first.last@idfg.idaho.gov,Ground,Unknown,,Castle Creek,,,4/4/2013,,,Nest,Unoccupied,Unoccupied,x,,,,,,,,,,42.926680,-116.391332,Decimal Degrees GCS WGS 1984,Accurate,,,BLM,Cliff,50,0,0,1.5,Fair,,,,,10
